Simple cross-match for lofar and exoplanets_magper

Simple cross-match with a radius of 5 
CygA -> Kepler-1021 b -> 13.47469571
CygA -> Kepler-208 d -> 11.131786
CygA -> Kepler-755 c -> 2.85313364
CygA -> Kepler-89 d -> 23.342989
CygA -> Kepler-249 d -> 15.368459
CygA -> Kepler-99 b -> 4.60358
CygA -> Kepler-1642 c -> 6.6513802
CygA -> Kepler-539 b -> 125.63243
CygA -> Kepler-929 b -> 0.92103214
CygA -> Kepler-865 b -> 14.16399294
CygA -> Kepler-58 b -> 10.2184954
CygA -> Kepler-487 b -> 15.3587684
CygA -> Kepler-379 b -> 20.09838
CygA -> Kepler-1243 b -> 16.8320729
CygA -> Kepler-1118 b -> 38.6715075
CygA -> Kepler-199 c -> 67.093408
CygA -> Kepler-187 b -> 4.938864
CygA -> Kepler-374 d -> 5.028219
CygA -> Kepler-1119 b -> 8.3265153
CygA -> Kepler-1630 b -> 509.997402
CygA -> Kepler-171 d -> 39.595519
CygA -> Kepler-304 e -> 1.49914695
CygA -> Kepler-1065 b -> 3.60930891
CygA -> Kepler-397 b -> 22.250949
CygA -> Kepler-146 b -> 31.158799
CygA -> Kepler-11 f -> 46.6888
CygA -> Kepler-176 c -> 12.759712
CygA -> Kepler-1236 b -> 31.0571618
CygA -> Kepler-251 b -> 4.790936
CygA -> Kepler-292 c -> 3.715335
CygA -> Kepler-462 b -> 84.6879808
CygA -> Kepler-1475 b -> 82.177374
CygA -> Kepler-711 b -> 23.58914398
CygA -> Kepler-252 b -> 6.668391
CygA -> Kepler-1623 b -> 4.36128348
CygA -> Kepler-79 e -> 81.065298
CygA -> Kepler-749 b -> 17.31716585
CygA -> Kepler-176 e -> 51.16579
CygA -> Kepler-631 b -> 17.97979059
CygA -> Kepler-1277 b -> 40.8365012
CygA -> Kepler-1532 b -> 1.09366356
CygA -> Kepler-1483 b -> 9.5085156
CygA -> Kepler-399 c -> 26.67569
CygA -> Kepler-1565 b -> 1.53818844
CygA -> Kepler-499 b -> 5.63252845
CygA -> Kepler-18 b -> 3.504725
CygA -> Kepler-246 c -> 11.187161
CygA -> Kepler-1502 b -> 41.7083629
CygA -> Kepler-1469 b -> 21.8635301
CygA -> Kepler-508 b -> 25.30889748
CygA -> Kepler-1091 b -> 1.43474156
CygA -> Kepler-644 b -> 3.1739171
CygA -> Kepler-119 b -> 2.422082
CygA -> Kepler-56 c -> 21.4050484
CygA -> Kepler-1267 b -> 13.0313945
CygA -> Kepler-1631 b -> 4.09513932
CygA -> Kepler-1485 b -> 19.9157725
CygA -> Kepler-348 b -> 7.05677
CygA -> Kepler-603 b -> 21.05358596
CygA -> Kepler-54 d -> 20.995694
CygA -> Kepler-1463 b -> 25.15864
CygA -> Kepler-374 b -> 1.897806
CygA -> Kepler-636 b -> 16.08066115
CygA -> Kepler-517 b -> 60.92832271
CygA -> Kepler-743 b -> 3.17926292
CygA -> Kepler-353 c -> 8.410894
CygA -> Kepler-972 b -> 7.03932553
CygA -> Kepler-317 c -> 8.77501
CygA -> Kepler-168 b -> 4.425391
CygA -> Kepler-56 b -> 10.5034294
CygA -> Kepler-1487 b -> 7.31946363
CygA -> Kepler-353 b -> 5.795278
CygA -> Kepler-931 b -> 8.03755877
CygA -> Kepler-314 c -> 5.960392
CygA -> Kepler-187 c -> 10.640263
CygA -> Kepler-289 b -> 34.543901
CygA -> Kepler-1524 b -> 70.9674603
CygA -> Kepler-899 b -> 19.17891293
CygA -> Kepler-1347 b -> 14.00947528
CygA -> Kepler-5 b -> 3.54846
CygA -> Kepler-1585 b -> 3.5827463
CygA -> Kepler-1125 b -> 17.6700642
CygA -> Kepler-436 c -> 16.79713874
CygA -> Kepler-1641 b -> 19.672266
CygA -> Kepler-201 c -> 151.884058
CygA -> Kepler-208 c -> 7.466623
CygA -> Kepler-581 b -> 40.6069821
CygA -> Kepler-249 c -> 7.113702
CygA -> Kepler-79 c -> 27.402
CygA -> Kepler-251 c -> 16.514043
CygA -> Kepler-1342 b -> 2.21571036
CygA -> Kepler-317 b -> 5.524242
CygA -> Kepler-1161 b -> 10.71252541
CygA -> Kepler-1533 b -> 308.5471
CygA -> Kepler-89 b -> 3.743208
CygA -> Kepler-11 g -> 118.3807
CygA -> Kepler-1182 b -> 11.17394617
CygA -> Kepler-1340 b -> 0.66502692
CygA -> Kepler-18 c -> 7.64159
CygA -> Kepler-947 b -> 26.9644317
CygA -> Kepler-923 b -> 6.93366476
CygA -> Kepler-1283 b -> 12.9460978
CygA -> Kepler-292 e -> 11.97901
CygA -> Kepler-912 b -> 2.53475627
CygA -> Kepler-624 b -> 14.58649607
CygA -> Kepler-699 b -> 27.80756293
CygA -> Kepler-289 d -> 66.0634
CygA -> Kepler-633 b -> 8.50340718
CygA -> Kepler-541 b -> 5.08005848
CygA -> Kepler-1255 b -> 36.2919336
CygA -> Kepler-304 b -> 3.295709
CygA -> Kepler-1625 b -> 287.378949
CygA -> Kepler-719 b -> 5.00731778
CygA -> Kepler-500 b -> 8.5083244
CygA -> Kepler-1384 b -> 15.36262753
CygA -> Kepler-696 b -> 4.19042557
CygA -> Kepler-789 b -> 8.63847725
CygA -> Kepler-1038 b -> 148.4603382
CygA -> Kepler-116 c -> 13.07163
CygA -> Kepler-857 b -> 85.35129427
CygA -> Kepler-855 b -> 7.8866311
CygA -> Kepler-304 c -> 5.315946
CygA -> Kepler-602 b -> 15.28469497
CygA -> Kepler-708 b -> 3.16789194
CygA -> Kepler-112 c -> 28.574263
CygA -> Kepler-1134 b -> 17.13263989
CygA -> Kepler-173 b -> 4.263742
CygA -> Kepler-1154 b -> 5.1856142
CygA -> Kepler-582 b -> 18.49235668
CygA -> Kepler-329 c -> 18.684737
CygA -> Kepler-819 b -> 33.1995648
CygA -> Kepler-289 c -> 125.866438
CygA -> Kepler-1640 b -> 7.5844126
