NAME1           NAME2                       PER
J085130.5+1150  M 67 YBP 1194         45.1555
J085130.5+1150  M 67 YBP 1514          6.66839
J085131.2+1145  M 67 YBP 1194         45.1555
J085131.2+1145  M 67 YBP 1514          6.66839
J085132.6+1145  M 67 YBP 1194         45.1555
J085132.6+1145  M 67 YBP 1514          6.66839
J085133.7+1143  M 67 YBP 1194         45.1555
J085133.7+1143  M 67 YBP 1514          6.66839
J085134.2+1150  M 67 YBP 1194         45.1555
J085134.2+1150  M 67 YBP 1514          6.66839
J085135.2+1156  M 67 YBP 1194         45.1555
J085135.2+1156  M 67 YBP 1514          6.66839
J085135.5+1139  M 67 YBP 1194         45.1555
J085135.5+1139  M 67 YBP 1514          6.66839
J085135.6+1148  M 67 YBP 1194         45.1555
J085135.6+1148  M 67 YBP 1514          6.66839
J085135.7+1153  M 67 YBP 1194         45.1555
J085135.7+1153  M 67 YBP 1514          6.66839
J085136.0+1146  M 67 YBP 1194         45.1555
J085136.0+1146  M 67 YBP 1514          6.66839
J085136.1+1144  M 67 YBP 1194         45.1555
J085136.1+1144  M 67 YBP 1514          6.66839
J085137.8+1150  M 67 YBP 1194         45.1555
J085137.8+1150  M 67 YBP 1514          6.66839
J085138.4+1149  M 67 YBP 1194         45.1555
J085138.4+1149  M 67 YBP 1514          6.66839
J085138.4+1154  M 67 YBP 1194         45.1555
J085138.4+1154  M 67 YBP 1514          6.66839
J085140.7+1148  M 67 YBP 1194         45.1555
J085140.7+1148  M 67 YBP 1514          6.66839
J085141.5+1153  M 67 YBP 1194         45.1555
J085141.5+1153  M 67 YBP 1514          6.66839
J085143.1+1139  M 67 YBP 1194         45.1555
J085143.1+1139  M 67 YBP 1514          6.66839
J085144.0+1148  M 67 YBP 1194         45.1555
J085144.0+1148  M 67 YBP 1514          6.66839
J085144.4+1145  M 67 YBP 1194         45.1555
J085144.4+1145  M 67 YBP 1514          6.66839
J085146.1+1149  M 67 YBP 1194         45.1555
J085146.1+1149  M 67 YBP 1514          6.66839
J085146.5+1152  M 67 YBP 1194         45.1555
J085146.5+1152  M 67 YBP 1514          6.66839
J085149.9+1149  M 67 YBP 1194         45.1555
J085149.9+1149  M 67 YBP 1514          6.66839
J085150.2+1146  M 67 YBP 1194         45.1555
J085150.2+1146  M 67 YBP 1514          6.66839
J085150.4+1144  M 67 YBP 1194         45.1555
J085150.4+1144  M 67 YBP 1514          6.66839
J085153.2+1136  M 67 YBP 1194         45.1555
J085153.2+1136  M 67 YBP 1514          6.66839
J085155.7+1150  M 67 YBP 1194         45.1555
J085155.7+1150  M 67 YBP 1514          6.66839
J085201.2+1142  M 67 YBP 1194         45.1555
J085201.2+1142  M 67 YBP 1514          6.66839
J085205.8+1137  M 67 YBP 1194         45.1555
J085207.2+1141  M 67 YBP 1514          6.66839
J085208.3+1148  M 67 YBP 1194         45.1555
J085208.3+1148  M 67 YBP 1514          6.66839
J085210.2+1147  M 67 YBP 1194         45.1555
J085210.2+1147  M 67 YBP 1514          6.66839
J085212.7+1149  M 67 YBP 1194         45.1555
J085212.7+1149  M 67 YBP 1514          6.66839
J085213.4+1146  M 67 YBP 1194         45.1555
J085213.4+1146  M 67 YBP 1514          6.66839
J085216.8+1148  M 67 YBP 1194         45.1555
J085216.8+1148  M 67 YBP 1514          6.66839
J085216.9+1141  M 67 YBP 1194         45.1555
J085301.4+2817  55 Cnc                 3.03958
J091915.7+3344  WASP-13               18.179
J092146.5+5053  HD 80606             559.405
J105740.3+0138  HD 95089             105.595
J110505.3-6110  OGLE2-TR-L9            2.4166
J110539.4-1011  HD 96167            1224
J110543.4-6108  OGLE2-TR-L9            2.4166
J110545.6-1007  HD 96167            1224
J110546.7-6111  OGLE2-TR-L9            2.4166
J110548.7-1009  HD 96167            1224
J110553.5-6106  OGLE2-TR-L9            2.4166
J110558.1-1013  HD 96167            1224
J110618.1-6114  OGLE2-TR-L9            2.4166
J110619.3-1013  HD 96167            1224
J110630.6-0520  WASP-106              17.1465
J110633.1-6059  OGLE-TR-182            5.82666
J110633.1-6059  OGLE2-TR-L9            2.4166
J110650.2-0516  WASP-106              17.1465
J111009.7-6108  OGLE-TR-182            5.82666
J111009.7-6108  OGLE2-TR-L9            2.4166
J111014.7-6118  OGLE-TR-182            5.82666
J111014.7-6118  OGLE2-TR-L9            2.4166
J111015.9-6109  OGLE-TR-182            5.82666
J111015.9-6109  OGLE2-TR-L9            2.4166
J111017.7-6117  OGLE-TR-182            5.82666
J111017.7-6117  OGLE2-TR-L9            2.4166
J111029.2-6120  OGLE-TR-182            5.82666
J111031.2-6102  OGLE2-TR-L9            2.4166
J111038.2-6120  OGLE-TR-182            5.82666
J112916.3-0135  K2-3                  18.315
J114155.3+2651  GJ 436                 5.92978
J122044.3+1729  11 Com                 7.9582
J125904.4+1245  PSR B1257+12           4.24375
J135037.3-0632  Qatar-2                3.0571
J143833.0-6051  alpha Cen B           49.4999
J144649.4+0118  WASP-37                3.27582
J155712.7+2710  epsilon CrB            2.73276
J160842.6-8353  HD 142022             12.6119
J162912.8-4602  HD 148156              3.73543
J171338.5+6316  HD 156279             21.8537
J173817.1-2659  OGLE-2011-BLG-0251    46.1837
J174936.9-2948  MOA-bin-1L             3.24756
J175007.0-3001  OGLE-TR-10            54.4187
J175007.6-2945  MOA-bin-1L             3.24756
J175007.6-2945  OGLE-TR-10            54.4187
J175013.0-2940  MOA-bin-1L             3.24756
J175013.0-2940  OGLE-TR-10            54.4187
J175016.0-2941  MOA-bin-1L             3.24756
J175016.0-2941  OGLE-TR-10            54.4187
J175018.6-2947  MOA-bin-1L             3.24756
J175018.6-2947  OGLE-TR-10            54.4187
J175019.8-2930  MOA-bin-1L             3.24756
J175021.1-2945  OGLE-TR-10            54.4187
J175022.0-2938  MOA-bin-1L             3.24756
J175022.0-2938  OGLE-TR-10            54.4187
J175022.7-2934  MOA-bin-1L             3.24756
J175023.3-2940  OGLE-TR-10            54.4187
J175024.5-2931  MOA-bin-1L             3.24756
J175026.1-2941  OGLE-TR-10            54.4187
J175026.6-2947  MOA-bin-1L             3.24756
J175026.6-2947  OGLE-TR-10            54.4187
J175027.1-2947  MOA-bin-1L             3.24756
J175027.1-2947  OGLE-TR-10            54.4187
J175028.2-2941  MOA-bin-1L             3.24756
J175028.2-2941  OGLE-TR-10            54.4187
J175029.2-2929  MOA-bin-1L             3.24756
J175032.1-2936  OGLE-TR-10            54.4187
J175037.5-2940  MOA-bin-1L             3.24756
J175037.5-2940  OGLE-TR-10            54.4187
J175038.5-2928  MOA-bin-1L             3.24756
J175044.4-2945  OGLE-TR-10            54.4187
J175046.9-2942  MOA-bin-1L             3.24756
J175046.9-2942  OGLE-TR-10            54.4187
J175047.7-2930  MOA-bin-1L             3.24756
J175048.5-2939  OGLE-TR-10            54.4187
J175048.7-2935  MOA-bin-1L             3.24756
J175048.7-2935  OGLE-TR-10            54.4187
J175049.4-2935  MOA-bin-1L             3.24756
J175049.4-2935  OGLE-TR-10            54.4187
J175049.4-2938  MOA-bin-1L             3.24756
J175049.4-2938  OGLE-TR-10            54.4187
J175049.6-2930  MOA-bin-1L             3.24756
J175050.4-2937  OGLE-TR-10            54.4187
J175051.1-2942  MOA-bin-1L             3.24756
J175051.1-2942  OGLE-TR-10            54.4187
J175051.2-2934  MOA-bin-1L             3.24756
J175051.2-2934  OGLE-TR-10            54.4187
J175052.0-2935  MOA-bin-1L             3.24756
J175052.0-2935  OGLE-TR-10            54.4187
J175052.2-2935  MOA-bin-1L             3.24756
J175052.2-2935  OGLE-TR-10            54.4187
J175053.0-2931  MOA-bin-1L             3.24756
J175053.3-2936  OGLE-TR-10            54.4187
J175053.5-2937  MOA-bin-1L             3.24756
J175053.5-2937  OGLE-TR-10            54.4187
J175053.7-2931  MOA-bin-1L             3.24756
J175053.7-2934  OGLE-TR-10            54.4187
J175053.9-2933  MOA-bin-1L             3.24756
J175053.9-2933  OGLE-TR-10            54.4187
J175053.9-2937  MOA-bin-1L             3.24756
J175053.9-2937  OGLE-TR-10            54.4187
J175054.0-2931  MOA-bin-1L             3.24756
J175054.0-2938  OGLE-TR-10            54.4187
J175054.2-2943  MOA-bin-1L             3.24756
J175054.2-2943  OGLE-TR-10            54.4187
J175054.9-2940  MOA-bin-1L             3.24756
J175054.9-2940  OGLE-TR-10            54.4187
J175055.3-2929  MOA-bin-1L             3.24756
J175055.3-2941  OGLE-TR-10            54.4187
J175055.5-2928  MOA-bin-1L             3.24756
J175055.5-2939  OGLE-TR-10            54.4187
J175055.6-2933  MOA-bin-1L             3.24756
J175055.6-2933  OGLE-TR-10            54.4187
J175055.8-2938  MOA-bin-1L             3.24756
J175055.8-2938  OGLE-TR-10            54.4187
J175056.5-2934  MOA-bin-1L             3.24756
J175056.5-2934  OGLE-TR-10            54.4187
J175056.9-2929  MOA-bin-1L             3.24756
J175057.0-2935  OGLE-TR-10            54.4187
J175057.0-2937  MOA-bin-1L             3.24756
J175057.0-2937  OGLE-TR-10            54.4187
J175057.2-2936  MOA-bin-1L             3.24756
J175057.2-2936  OGLE-TR-10            54.4187
J175057.2-2941  MOA-bin-1L             3.24756
J175057.2-2941  OGLE-TR-10            54.4187
J175057.7-2940  MOA-bin-1L             3.24756
J175057.7-2940  OGLE-TR-10            54.4187
J175057.8-2932  MOA-bin-1L             3.24756
J175058.2-2939  OGLE-TR-10            54.4187
J175058.8-2938  MOA-bin-1L             3.24756
J175058.8-2938  OGLE-TR-10            54.4187
J175058.8-2955  MOA-bin-1L             3.24756
J175058.8-2955  OGLE-TR-10            54.4187
J175059.5-2930  MOA-bin-1L             3.24756
J175059.5-2941  OGLE-TR-10            54.4187
J175059.7-2931  MOA-bin-1L             3.24756
J175059.7-2933  OGLE-TR-10            54.4187
J175100.0-2936  MOA-bin-1L             3.24756
J175100.0-2936  OGLE-TR-10            54.4187
J175100.1-2933  MOA-bin-1L             3.24756
J175100.1-2933  OGLE-TR-10            54.4187
J175100.6-2934  MOA-bin-1L             3.24756
J175100.6-2934  OGLE-TR-10            54.4187
J175100.6-2935  MOA-bin-1L             3.24756
J175100.6-2935  OGLE-TR-10            54.4187
J175100.7-2942  MOA-bin-1L             3.24756
J175100.7-2942  OGLE-TR-10            54.4187
J175101.2-2932  MOA-bin-1L             3.24756
J175101.5-2939  OGLE-TR-10            54.4187
J175101.6-2939  MOA-bin-1L             3.24756
J175101.6-2939  OGLE-TR-10            54.4187
J175102.0-2933  MOA-bin-1L             3.24756
J175102.0-2933  OGLE-TR-10            54.4187
J175102.2-2927  MOA-bin-1L             3.24756
J175102.4-2941  OGLE-TR-10            54.4187
J175102.8-2934  MOA-bin-1L             3.24756
J175102.8-2934  OGLE-TR-10            54.4187
J175102.9-2930  MOA-bin-1L             3.24756
J175103.3-2934  OGLE-TR-10            54.4187
J175103.4-2941  MOA-bin-1L             3.24756
J175103.4-2941  OGLE-TR-10            54.4187
J175103.7-2936  MOA-bin-1L             3.24756
J175103.7-2936  OGLE-TR-10            54.4187
J175103.8-2938  MOA-bin-1L             3.24756
J175103.8-2938  OGLE-TR-10            54.4187
J175103.9-2934  MOA-bin-1L             3.24756
J175103.9-2934  OGLE-TR-10            54.4187
J175103.9-2935  MOA-bin-1L             3.24756
J175103.9-2935  OGLE-TR-10            54.4187
J175103.9-2941  MOA-bin-1L             3.24756
J175103.9-2941  OGLE-TR-10            54.4187
J175104.1-2927  MOA-bin-1L             3.24756
J175104.1-2934  OGLE-TR-10            54.4187
J175104.1-2938  MOA-bin-1L             3.24756
J175104.1-2938  OGLE-TR-10            54.4187
J175104.3-2933  MOA-bin-1L             3.24756
J175104.3-2933  OGLE-TR-10            54.4187
J175104.5-2934  MOA-bin-1L             3.24756
J175104.5-2934  OGLE-TR-10            54.4187
J175104.5-2935  MOA-bin-1L             3.24756
J175104.5-2935  OGLE-TR-10            54.4187
J175104.5-2941  MOA-bin-1L             3.24756
J175104.5-2941  OGLE-TR-10            54.4187
J175104.6-2933  MOA-bin-1L             3.24756
J175104.6-2933  OGLE-TR-10            54.4187
J175105.0-2932  MOA-bin-1L             3.24756
J175105.0-2936  OGLE-TR-10            54.4187
J175105.1-2929  MOA-bin-1L             3.24756
J175105.7-2938  OGLE-TR-10            54.4187
J175106.1-2939  MOA-bin-1L             3.24756
J175106.1-2939  OGLE-TR-10            54.4187
