NAME,DEC,RA,TRANSIT,TRANSITURL,TRANSITREF,SE,SEURL,SEREF,MSTAR,IMAGING,TIMING,ASTROMETRY,MICROLENSING,MASS,PER
Kepler-537 b,51.27708333333333,19.32537500010596,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.07,0,0,0,0,0.00965491,3.24755522
Kepler-245 b,42.43631944444444,19.44260000016954,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0205131,7.49019
Kepler-154 f,49.89652777777778,19.31870277775658,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.89,0,0,0,0,0.0118373,9.91935684
Kepler-287 c,48.44354999966091,19.39516111161974,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0318107,44.851896
Kepler-33 d,46.00519444465638,19.27183666653103,1,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Lissauer 2012,0,,,1.291,0,0,0,0,0.095206,21.77596
Kepler-1423 b,41.11008333312141,19.21625277731154,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.79,0,0,0,0,0.00364938,23.955378
Kepler-63 b,49.54819444444444,19.28174833297729,1,http://adsabs.harvard.edu/abs/2013arXiv1307.8128S,Sanchis-Ojeda 2013,0,,Predicted,0.984,0,0,0,0,0.125283,9.4341505
XO-1 b,28.16955555544959,16.03662222226461,1,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,1,,,1.027,0,0,0,0,0.918464,3.941534
Kepler-252 b,44.54596111085679,19.7052888891432,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.00604207,6.668391
Kepler-51 b,49.93766666677263,19.7653183333079,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,0,,Predicted,1,0,1,0,0,0.00661,45.1555023
Kepler-717 b,43.34638888888889,19.53103611098395,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.88,0,0,0,0,0.0187628,4.40840023
HR 8799 c,21.13437222222487,23.12462499989403,0,,,0,,Predicted,1.516,1,0,0,0,9.5,82145
