NAME,RA,DEC,PER
Kepler-634 b,19.41300555547078,40.70269444439147,5.16950177
Kepler-881 b,19.26617222256131,46.67074999994701,4.44448017
Kepler-103 c,19.26561111132304,40.06444444444444,179.612
Kepler-997 b,19.28222499953376,49.93894444465637,2.70730672
Kepler-1503 b,19.58181111123827,42.80674999978807,96.16987
HD 100655 b,11.58438611110052,20.44154722213745,157.57
Kepler-400 b,19.39630000008477,40.48003888871935,9.024389
Kepler-106 c,20.05758333312141,44.33750000000001,13.5708
Kepler-113 b,19.19985888904995,50.94433333290947,4.754
Kepler-1178 b,19.2304027779897,45.80211111108462,31.80634
Kepler-595 b,19.63802499983046,50.67302777767181,25.30292332
HD 142415 b,15.96136666615804,-60.20000833333315,386.29999
Kepler-1359 b,19.30258888880412,41.89283333354526,59.4970952
Kepler-785 b,19.4712194442749,38.84224999957615,1.97376093
CoRoT-9 b,18.71911388900545,6.204138888782925,95.2738
HD 114386 b,13.17775555504693,-35.05399166663487,937.70001
HD 103197 b,11.88140277756585,-50.29284166653951,47.84
Kepler-698 b,19.23400000002649,41.30177777780427,16.32976218
Kepler-1022 b,19.29013333320618,46.97372222211626,10.99469878
7 CMa b,6.611388888888889,-19.2557083331214,763
K2-3 b,11.4889966668023,-1.454786110983954,10.05403
Kepler-368 b,19.45866944419013,45.38793055534363,26.84768
Kepler-913 b,19.83887500021193,41.95244444449743,10.29672521
Kepler-1224 b,19.10838333341811,37.53730555560853,13.32351601
Kepler-335 b,19.73761944452922,45.42861944410536,6.562331
WASP-16 b,14.31220055580139,-20.27549999978807,3.1186009
Kepler-316 b,19.38839999993642,44.18411111109786,2.240508
HD 152581 b,16.89543888939751,11.97378333356645,689
KIC 11442793 h,18.96223277727763,49.30513888888888,331.60059
Kepler-103 b,19.26561111132304,40.06444444444444,15.9654
Kepler-1426 b,19.50304999987284,49.41697222222884,14.2563227
Kepler-993 b,19.50760555532244,44.39466666645474,22.08557563
Kepler-338 b,18.86526111072964,40.78435000002384,13.726976
Kepler-1588 b,19.21551388846503,48.00216666671965,7.84931739
